VisLtdRandom Averages	Tester Names	Time Taken (avg)	Shape Precision % (avg)	Orientation Precision % (avg)	Overall Precision % (avg)	Efficiency % (avg)	Total Difficulty (avg)	MV (sum)	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE (sum)	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation
	1	18.53641	90.93885	77.9977	84.86132	68.81102	0.479259	2379.41	443.5774	460.1508	0	528.8654	83.26039	334.4252	529.1304	35	8	6	1	4	6	6	4
	2	12.45449	94.21946	85.34617	90.06281	76.92251	0.4724079	1954.691	249.3472	283.2017	0	374.4136	80.72603	377.1909	589.8118	29	4	4	1	3	6	6	5
	3	12.04942	92.83564	87.30506	89.80093	78.04929	0.4945168	1996.686	178.245	197.9779	0	387.2398	114.4009	550.8917	567.9306	21	2	1	1	2	4	4	6
	4	12.7954	93.21308	80.31527	87.32211	73.54163	0.4909843	2424.507	225.7979	259.1958	0	292.9417	61.14119	789.1349	796.2963	33	7	4	1	6	5	4	5
	5	8.322557	95.82418	88.84212	91.89659	78.98203	0.4603074	2368.261	212.2132	243.0591	0	309.1357	163.9557	575.5334	864.3643	27	3	3	1	3	6	5	7
	6	10.26666	94.90344	81.96056	88.90195	80.20634	0.510775	1690.23	162.8934	250.8579	0	244.6695	62.36876	537.1532	432.2878	21	4	4	1	1	3	4	4
	7	10.19359	93.90208	88.3198	91.02775	86.47067	0.4621385	1049.183	120.9905	176.2069	0	256.4772	52.3655	236.7124	206.4303	15	2	1	1	3	3	3	2
	8	9.531238	92.20463	89.87849	90.5646	76.30341	0.470313	2583.956	326.4829	345.9825	0	358.088	157.6718	513.3616	882.369	28	3	5	1	3	6	5	6
	9	17.04568	94.50955	87.83327	91.09853	77.00378	0.4686685	1569.862	239.2304	283.983	0	310.5929	73.91977	291.0403	371.0955	31	4	6	1	7	4	5	5
	10	10.80763	91.11018	78.53471	85.08607	73.339	0.4774455	2879.621	262.4115	240.1756	0	349.5086	156.1339	757.2184	1114.173	30	4	3	1	3	7	5	7
	11	11.01744	91.06631	74.10295	83.10143	73.49529	0.5046089	2803.578	186.1369	256.6327	0	296.8749	151.7052	894.0972	1018.131	27	3	6	1	1	7	3	6
	12	11.4328	94.82521	88.29639	91.51381	82.45358	0.4228789	1377.281	191.108	224.3671	0	286.8568	76.26892	178.7979	419.8824	32	5	4	1	6	5	5	7
	13	6.472984	91.35336	82.87313	87.16438	89.43913	0.4747634	965.3974	150.4851	179.3639	0	263.1225	45.24351	125.074	202.1086	11	1	1	1	2	2	2	2
	14	17.86526	93.24657	89.16225	91.1246	64.36158	0.4482231	3124.914	304.9105	364.7683	0	461.409	141.4074	798.6617	1053.757	59	7	9	1	5	15	11	11
	15	4.346728	90.06473	82.06895	85.39141	90.00953	0.4401866	1172.415	179.2512	156.9644	0	201.2296	93.31612	198.9775	342.6766	13	1	2	1	2	3	2	3
	16	18.92873	95.01463	82.01765	89.06432	66.69602	0.4736861	2672.026	344.3587	421.915	0	478.7881	106.1523	476.6803	844.132	43	8	10	1	7	5	6	6
	17	11.45122	92.98166	82.21524	87.64157	73.99129	0.468458	2643.669	282.3138	314.6937	0	513.9127	116.1135	651.3754	765.2598	34	4	5	1	7	8	4	6
	18	14.10918	93.99441	82.88896	88.69022	71.88535	0.4795352	2214.508	311.9638	324.7665	0	465.6671	94.28749	317.1552	700.6683	38	8	4	1	8	6	4	6
	19	8.18024	94.20688	83.43369	89.07828	79.07629	0.4683142	2420.168	319.2171	325.5322	0	391.2057	79.89835	591.6115	712.7039	20	3	3	1	3	4	2	4
	20	8.1659	95.73092	81.74789	89.34255	83.52241	0.4386154	1804.091	192.8882	211.7781	0	304.7111	76.27208	508.4603	509.9809	24	4	3	1	4	4	4	4
OVERALL VisLtdRandom Avg	ALL	11.69867785	93.3072885	83.7570125	88.6367615	77.2280075	0.470304285	2104.72272	244.191135	276.078655	0	353.785495	99.3304405	485.17765	646.159475	28.55	4.25	4.2	1	4	5.45	4.5	5.3
InvisLtdRandom Averages	Tester Names	Time Taken (avg)	Shape Precision % (avg)	Orientation Precision % (avg)	Overall Precision % (avg)	Efficiency % (avg)	Total Difficulty (avg)	MV (sum)	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE (sum)	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation
	1	16.52409	90.73792	77.51499	84.70801	78.2856	0.4493524	1902.794	339.2606	377.7012	0	495.1226	58.35136	316.5165	315.8421	22	5	4	1	5	4	2	3
	2	14.84867	91.92239	80.74891	86.49779	77.99166	0.4617428	1785.807	243.5468	313.8888	0	352.227	98.41458	300.3505	477.3796	25	4	4	1	4	4	4	5
	3	7.172808	92.18416	82.69476	86.22745	90.34732	0.469117	853.853	108.2734	119.8104	0	198.7911	56.00609	90.53282	280.4391	9	2	0	1	1	1	1	2
	4	8.554311	92.38515	84.04546	87.63631	87.93318	0.4940071	896.5114	195.6498	189.2803	0	238.9692	37.55114	72.41838	162.6425	14	3	3	1	2	3	1	2
	5	8.396577	92.92136	80.0332	86.05692	76.27572	0.4955439	2588.563	192.4199	287.062	0	318.2431	156.8902	800.8362	833.1115	24	3	3	1	3	4	3	7
	6	7.944018	93.17155	79.89445	87.05502	86.96525	0.4839918	1172.061	143.9558	200.1502	0	203.0874	58.46513	244.613	321.7894	14	2	2	1	2	3	2	2
	7	8.51119	92.384	78.17858	85.55274	87.33945	0.4965382	919.5129	135.4933	154.7486	0	230.7959	53.68545	133.7466	211.0431	13	3	2	1	2	2	1	2
	8	7.422325	91.44622	80.13754	85.74464	83.34663	0.4506223	2029.425	285.4535	279.1382	0	297.7394	123.3966	386.3265	657.3714	19	3	2	1	1	3	3	6
	9	15.60772	92.68395	74.5818	84.50627	76.40306	0.4859501	1971.248	225.1901	284.1706	0	283.6845	92.14085	503.6789	582.3834	24	3	1	1	3	9	3	4
	10	6.885927	89.16961	81.60458	84.25817	88.07547	0.4415208	1209.225	151.5454	182.8726	0	233.0272	89.04062	184.1157	368.6232	13	1	1	1	1	3	2	3
	11	6.953452	90.82224	82.75195	86.07765	86.63757	0.4650249	1280.694	121.1337	179.0513	0	248.1517	115.8642	262.5841	353.9094	17	2	2	1	1	4	2	5
	12	9.590447	94.31814	80.45748	85.83265	83.26711	0.4797737	1409.181	181.7556	220.0222	0	315.3741	69.89262	246.4543	375.6825	21	4	3	1	3	3	2	6
	13	9.383266	88.06529	78.7928	83.06349	86.28423	0.4944945	1208.984	195.9181	194.3129	0	351.9244	48.21111	157.5964	261.0211	12	1	2	1	1	2	2	2
	14	12.8222	92.83453	83.92852	86.59201	72.28225	0.5075713	2158.593	258.8122	345.0213	0	451.0196	171.7359	347.217	584.7867	41	8	8	1	4	5	9	6
	15	4.24263	88.93201	79.31877	82.31213	90.25827	0.4588726	1184.589	183.7411	162.0003	0	239.6742	86.03413	217.2222	295.9178	9	1	1	1	0	1	1	3
	16	16.56993	92.98492	79.59801	86.81082	74.70305	0.432269	2482.317	267.3983	367.5268	0	405.3772	71.1752	684.1436	686.6962	29	5	7	1	3	5	2	6
	17	6.972604	89.70228	81.94177	84.76568	89.58199	0.4300797	1036.344	120.5654	180.0359	0	276.5204	69.27285	151.2928	238.6562	12	1	2	1	1	3	1	3
	18	11.10328	90.18669	75.3007	83.27306	80.21272	0.4635306	1814.825	214.7751	278.6068	0	348.8172	78.95818	402.5947	491.0732	21	4	4	1	3	3	2	3
