All Test Averages	Trial Number	Test Timestamp	Tester Name	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Dock Rotate Angle	Dock ChildRotate Angle	Dock RotateInverse Angle	Dock ChildRotateInverse Angle	Dock x Rotation	Dock y Rotation	Dock z Rotation	Efficiency %	Total Difficulty	MV Avg	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE Avg	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation	
	1	2018-11-02_08:03:05	0	Ltd Random	False	38.26505	90.93921	44.13476	70.87334	90	90	0	90.00001	1.024528E-05	90	90	64.07705	0.5	2258.085	431.5893	649.8456	0	570.6077	41.25594	92.00065	472.786	22	4	8	1	8	3	0	0	
	2	2018-11-02_08:03:06	0	ZEROING DATA	True	0.3927519	53.27641	66.62511	58.99142	0	0	0	0	0	0	0	100	0	515.5448	98.6958	139.0181	0	101.0402	0	118.2931	58.49757	0	0	0	1	0	1	0	0	
	3	2018-11-02_08:04:43	0	BAD DATA	True	96.61964	91.35453	58.12125	76.59888	90	128.9908	0	150	5.008957E-06	150	5.008956E-06	-16.66577	0.5766565	7369.45	1359.774	1698.224	0	2019.092	348.7961	978.3242	965.2416	64	8	6	1	0	32	6	14	
	4	2018-11-02_08:05:26	0	ZEROING DATA	True	42.96615	99.21857	82.68772	91.93353	0	0	0	0	0	0	0	100	0	2155.715	641.8761	402.5197	0	704.2332	8.675537	225.2972	173.1138	19	5	1	1	3	1	8	1	
	5	2018-11-02_08:05:27	0	Presets_dockPreset_3	False	0.3702619	50.24125	48.0074	42.64395	110	113.263	0	135	83.66328	133.3066	147.4534	99.56903	0.8029848	16.64468	6.095261	5.157471	0	5.391953	0	0	0	0	0	0	1	0	0	0	0	
	6	2018-11-02_08:05:30	0	ZEROING DATA	True	3.699144	99.86976	99.99814	99.92431	1.371407E-16	1.755461E-34	0	1.684903E-16	0	0	0	100	3.3959E-19	192.4684	64.46876	67.04724	0	60.9524	0	0	0	0	1	1	1	1	1	1	1	
	7	2018-11-02_08:06:38	0	Ltd Random	True	67.41449	83.23965	96.30175	88.61909	90	50.41696	0	90	5.122642E-06	90	150	-2.865289	0.5226855	6738.699	1039.471	938.6658	0	1409.64	152.9474	652.5457	2545.433	124	12	14	1	10	33	28	28	
	8	2018-11-02_08:07:04	0	ZEROING DATA	True	26.04378	99.41394	99.49953	99.43692	0	0	0	0	0	0	0	100	0	2616.357	465.1133	526.3	0	672.5852	17.50089	213.1084	721.749	39	7	7	1	7	11	7	1	
	9	2018-11-02_08:07:30	0	Presets_dockPreset_1	False	25.66926	93.00974	93.90363	93.25652	0	150	0	150	55.54794	87.60136	143.5475	64.03225	0.6518853	1450.57	389.157	170.901	0	449.6407	53.448	151.121	236.3024	31	9	0	1	0	17	4	2	
	10	2018-11-02_08:07:41	0	ZEROING DATA	True	10.92031	99.67439	98.86507	99.17117	0	1.611493E-43	0	1.611493E-43	0	0	0	100	0	1414.195	150.5055	262.7983	0	380.9521	117.6128	145.7858	356.5409	14	1	1	1	1	1	10	1	
	11	2018-11-02_08:08:20	0	Presets_dockPreset_2	False	38.55637	97.16422	80.55077	89.89648	90	90	0	89.99999	54.23558	68.14697	122.6382	18.66904	0.5722453	5456.967	701.1861	714.7831	0	1324.775	367.0515	1093.167	1256.004	99	7	6	1	29	29	28	0	
	12	2018-11-02_08:08:27	0	ZEROING DATA	True	6.648114	99.54417	99.62747	99.47787	0	0	0	0	0	0	0	100	0	1259.888	199.7361	294.9154	0	392.9081	72.9826	179.6741	119.6713	20	1	5	1	9	1	1	3	
	13	2018-11-02_08:08:42	0	Ltd Random	False	15.44743	88.60297	98.96783	92.63611	90	90	0	30	5.008957E-06	90	5.008957E-06	86.90079	0.3333333	1085.021	126.3588	152.1462	0	644.4536	4.637047	94.85532	62.56972	26	2	0	1	8	10	3	5	
