
Angles Over Time
Frames	Rotate	ChildRotate	RotateInverse	ChildRotateInverse	Docking x	Docking y	Docking z	
0	-2.021729	-2.344299	0	1.72924	-0.005889893	0.2826487	-0.01742554	
1	-0.4514465	-0.234436	0	-0.6858826	-0.0003831884	0.06169568	-0.001475139	
2	0.01740588	-0.234436	0	-0.6858826	-3.549283E-05	-0.01065063	0.0002807171	
3	0.01740588	0	0	0.251842	-3.549283E-05	-0.01065063	0.0002807171	
4	-1.154755	-0.9377136	0	1.658435	0.0005600618	-0.09786987	0.002352097	
5	-1.623627	1.172157	0	-0.2170105	0.005198529	-0.1592712	0.01446368	
6	0.9551347	0.9377211	0	-0.6858826	0.005593145	-0.2209473	0.01593496	
7	0.9551347	0.4688568	0	-0.6858826	0.005740742	-0.2677612	0.01708996	
8	0.9551347	0.9377211	0	0.01740607	0.01647679	-0.2358704	0.01199225	
9	0.4862703	-0.9377441	0	0.7207066	0.03087096	-0.2058411	0.01774331	
10	-0.9203186	-3.709802E-07	0	-0.6858826	0.08765207	-0.4050903	0.0372147	
11	0.4862702	-3.709802E-07	0	-0.2170105	0.2621635	-0.3825684	0.04063874	
12	0.01740588	0.234428	0	-0.4514465	0.7182056	-0.434021	0.06845073	
13	-0.217041	0.234428	0	5.643779	1.157547	-0.309021	0.02542068	
14	0.2518342	-1.875458	0	24.39833	1.491721	-0.2642517	0.02667331	
15	-2.092468	-0.9377441	0	38.69869	2.680205	-0.2796326	-0.4620972	
16	-0.9203186	0.2344279	0	46.90382	2.646052	-1.245728	0.4462627	
17	0.01740571	-3.516479	0	48.31041	2.530892	-2.345734	4.649225	
18	0.7206985	-7.736267	0	47.84155	2.635436	-3.155243	13.54209	
19	-10.76648	-13.83148	0	36.11994	3.367058	-2.962494	23.84122	
20	-18.97159	-15.2381	0	33.77562	5.448232	-3.288605	28.32422	
21	-22.48807	-16.17581	0	21.81959	4.2227	-6.483215	31.11463	
22	-20.61261	-23.91208	0	19.70971	3.704081	-10.87732	26.17917	
23	-0.217041	-24.38092	0	12.20788	4.351096	-14.69061	28.30379	
24	-0.217041	-19.45786	0	10.56686	4.741827	-20.03214	29.83584	
25	-0.4514465	-21.09888	0	5.409347	5.696819	-24.88135	32.04653	
26	-2.092468	-20.86444	0	0.9551388	6.493989	-29.91434	34.73942	
27	-1.389191	-26.49081	0	-0.4514465	9.395602	-33.26462	39.5473	
28	-0.217041	-36.10254	0	-0.4514465	14.26141	-35.6792	44.13843	
29	0.7206988	-49.23071	0	0.0174098	19.33886	-37.61163	47.41568	
30	0.4862704	-71.26733	0	-0.4514465	27.64351	-38.50092	55.38598	
31	-0.9203186	-75.01825	0	2.361732	31.86593	-42.34366	62.79777	
32	-2.795776	-74.54938	0	2.127303	38.30506	-44.43521	68.24016	
33	-1.389191	-66.10983	0	1.658439	43.24696	-46.01624	74.81496	
34	-2.092468	-62.12448	0	2.361732	45.52898	-45.49625	81.508	
35	-1.389191	-59.07687	0	1.189575	47.82511	-46.27744	84.31445	
36	-0.217041	-59.54572	0	1.424003	50.83587	-45.83679	90.84581	
37	-4.671234	-60.95233	0	2.830596	53.18724	-40.83423	105.9936	
38	-8.891022	-55.56039	0	1.658439	56.88899	-39.59201	111.6382	
39	-8.656586	-54.15378	0	0.9551384	60.87143	-42.24118	112.7264	
40	-10.29761	-53.21606	0	0.9551384	63.39716	-46.62305	109.7267	
41	-10.53204	-52.98163	0	1.424003	66.87006	-55.68076	101.2749	
42	-11.00089	-53.68494	0	3.533889	69.44128	-64.5686	93.2313	
43	-13.34521	-56.26367	0	2.361732	68.77287	-76.58395	82.5442	
44	-11.46976	-55.32596	0	0.4862739	68.74285	-85.77637	74.3881	
45	-10.06317	-53.91937	0	1.189574	67.7833	-98.34839	60.90652	
46	-9.828735	-54.38821	0	0.4862738	67.31297	-105.9882	52.93948	
47	-9.594299	-52.27832	0	0.4862738	64.47117	-117.0586	40.80648	
48	-14.51736	-53.91937	0	3.299461	62.39363	-123.7857	34.23074	
49	-22.0192	-52.51276	0	-0.9203186	60.3336	-130.2902	27.40909	
50	-27.64557	-52.51276	0	-0.9203186	58.79694	-132.5488	25.25847	
51	-31.16205	-51.80945	0	-0.9203186	57.78154	-133.9566	22.821	
52	-35.1474	-51.80945	0	-0.4514465	56.67259	-136.5507	20.72305	
53	-37.96057	-51.57504	0	-1.154755	55.99224	-139.7843	18.993	
54	-43.35251	-52.98163	0	0.4862736	55.10173	-141.4488	18.68273	
55	-49.68219	-52.04388	0	-0.6858826	55.23409	-142.4821	19.59251	
56	-51.55765	-52.74719	0	-0.9203186	55.92778	-143.6171	18.80624	
57	-52.49536	-52.27832	0	-0.2170105	56.01053	-144.3291	18.22675	
58	-54.37082	-52.27832	0	-0.2170105	56.34433	-144.6347	17.98415	
59	-55.543	-54.62265	0	0.7207096	56.95951	-145.0845	17.3465	
60	-57.65289	-53.4505	0	0.7207096	58.09084	-145.7585	17.06004	
61	-60.23163	-52.51276	0	-0.6858826	58.02799	-145.6702	17.65208	
62	-63.98254	-52.04388	0	0.2518452	58.13994	-146.0541	17.15747	
63	-67.73346	-51.80945	0	0.01740912	58.35438	-146.6931	17.05835	
64	-70.07776	-52.74719	0	-0.2170105	59.22383	-148.6184	15.62227	
65	-72.65652	-53.68491	0	5.174918	58.08081	-150.3578	13.43356	
66	-76.173	-53.21606	0	0.01740962	56.87189	-151.8579	12.71431	
67	-80.39276	-53.21606	0	0.01740962	55.02852	-153.4983	12.05195	
68	-87.89459	-52.27832	0	0.2518457	52.85511	-155.3591	10.7926	
69	-95.63086	-51.57501	0	1.189575	50.70973	-157.334	9.75061	
70	-101.2572	-51.10617	0	-0.6858826	48.87864	-157.837	9.317471	
71	-104.3048	-52.51276	0	0.9551384	48.19748	-158.0893	9.410795	
72	-108.0558	-51.57501	0	-1.154755	47.38977	-158.7635	9.237299	
73	-110.6345	-51.80945	0	-1.389191	46.2501	-159.4934	8.880707	
74	-114.151	-51.57501	0	-0.9203186	44.40818	-160.4758	8.023417	
75	-115.0887	-51.80945	0	-1.154755	43.13449	-161.8801	6.812514	
76	-115.0887	-55.09149	0	0.7207099	42.78705	-162.4323	6.473912	
77	-116.0264	-56.26367	0	0.4862739	42.24258	-162.3125	6.158526	
78	-115.5576	-57.90469	0	-0.9203186	41.54715	-162.2898	5.323435	
79	-115.3232	-58.13913	0	-1.389191	41.089	-162.0147	3.97944	
80	-115.0887	-59.31128	0	-0.9203186	41.1634	-161.2181	2.343833	
81	-115.0887	-59.78015	0	-0.6858826	41.11349	-159.9018	1.009409	
82	-115.0887	-62.12445	0	2.596168	42.86105	-157.8483	0.1790107	
83	-116.0264	-60.48346	0	0.01740954	44.55934	-154.7045	-0.1612854	
84	-116.0264	-61.18674	0	1.424003	46.54373	-151.5225	-2.095612	
85	-116.4953	-60.24902	0	2.127303	47.42859	-148.9467	-3.717194	
86	-116.2609	-60.48346	0	1.658439	46.32427	-148.5549	-4.917847	
87	-117.1986	-60.71786	0	1.424003	45.87525	-148.5765	-4.80954	
88	-117.1986	-64.93765	0	3.299461	45.3588	-148.6424	-4.885681	
89	-118.3708	-66.57867	0	0.4862742	44.66966	-149.0651	-4.785461	
90	-117.6675	-67.04755	0	1.424003	44.4281	-149.1811	-3.97818	
91	-118.3708	-67.04755	0	0.7207103	44.25625	-149.4029	-3.065277	
92	-118.3708	-67.28198	0	0.7207103	43.99707	-150.0558	-2.460297	
93	-119.5429	-69.86072	0	4.471618	43.71325	-150.8611	-2.086243	
94	-121.8872	-68.2197	0	3.299461	43.70546	-151.3793	-1.440765	
95	-122.3561	-67.04755	0	0.9551384	43.46628	-152.1543	-0.6722107	
96	-122.1217	-67.28198	0	0.9551384	43.61665	-152.5517	-0.9719849	
97	-122.1217	-66.81311	0	0.4862741	43.57129	-152.6185	-1.055176	
98	-121.8872	-67.51642	0	0.7207101	44.00226	-152.2056	-0.831543	
99	-121.8872	-69.15744	0	5.409347	43.97291	-152.6511	-1.238647	
100	-123.5283	-67.51642	0	1.892868	43.90214	-153.0462	-1.593933	
101	-122.1217	-66.57867	0	0.7207109	43.81217	-153.6413	-2.20285	
102	-121.6528	-66.34424	0	1.424004	43.63923	-154.1567	-3.023926	
103	-121.6528	-65.8754	0	4.002754	43.75377	-154.4501	-4.021088	
