All Test Averages	Trial Number	Test Timestamp	Tester Name	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Dock Rotate Angle	Dock ChildRotate Angle	Dock RotateInverse Angle	Dock ChildRotateInverse Angle	Dock x Rotation	Dock y Rotation	Dock z Rotation	Efficiency %	Total Difficulty	MV Avg	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE Avg	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation	
	1	2018-11-07_15:16:18	0	BAD DATA	True	24.94059	97.6561	97.85914	96.07806	110	38.63281	0	0	57.14888	15.04558	16.69666	88.1547	0.2639155	494.2354	105.0255	120.0292	0	207.0035	37.04961	10.25283	14.87463	31	4	6	1	3	8	7	4	
	3	2018-11-07_15:16:42	0	BAD DATA	False	23.94933	58.13861	56.85	52.92217	1.611493E-43	150	0	150	58.75709	170.1687	61.76722	76.89834	0.6563255	1024.916	528.2699	240.996	0	87.44305	81.61763	13.81749	72.77264	3	3	0	1	0	0	0	0	
	5	2018-11-07_15:18:18	0	Presets_dockPreset_3	True	35.25761	88.95679	90.936	88.91967	110	113.2509	0	135	60.5668	116.4656	91.93744	36.21075	0.6969118	4427.37	287.1792	357.7432	0	294.4466	254.1786	1261.571	1972.251	24	4	2	1	0	6	2	10	
	7	2018-11-07_15:18:46	0	Presets_dockPreset_1	False	18.6133	57.5519	74.59855	62.4468	0	150	0	150	30.06153	86.26648	49.44165	85.87613	0.5175219	767.8054	143.7068	278.7397	0	280.6148	16.63298	0	48.11117	2	3	0	1	0	0	0	0	
	9	2018-11-07_15:19:05	0	Presets_dockPreset_2	False	14.53935	61.97904	76.44772	64.83117	90	90	0	89.99999	42.17606	28.36005	98.16007	92.43871	0.4874402	97.28923	2.350754	9.846138	0	85.09234	0	0	0	0	0	0	1	0	0	0	0	
	11	2018-11-07_15:19:41	0	Ltd Random	False	27.76852	98.52568	35.10626	66.86073	90	90	0	90.00001	30	180	180	69.16685	0.7333333	527.669	100.3369	101.2746	0	238.4174	17.96494	0	69.67509	18	3	14	1	1	0	0	0	
	13	2018-11-07_15:19:59	0	Presets_dockPreset_4	True	9.261529	89.07185	90.61828	89.02009	110	38.37396	0	1.611493E-43	1.786011	98.2667	106.278	92.83193	0.3941163	492.6169	57.43587	96.586	0	164.8057	16.95317	95.11523	61.72087	8	0	0	1	2	2	6	0	
	15	2018-11-07_15:20:09	0	Presets_dockPreset_5	False	6.144403	97.4042	86.15742	92.33974	1.611493E-43	1.611493E-43	0	89.99999	62.82031	47.17868	109.5642	93.74323	0.3439592	804.6049	60.48349	100.1025	0	216.1463	75.73132	145.427	206.7144	9	3	3	1	0	3	2	0	
	17	2018-11-07_15:20:28	0	Presets_dockPreset_4	True	13.87501	90.77084	82.57104	87.16917	110	38.62137	0	1.611493E-43	84.33636	63.21764	158.8886	71.63174	0.5056267	3223.013	208.8789	331.018	0	380.2487	117.1724	1173.087	1012.609	20	4	8	1	4	5	0	0	
	19	2018-11-07_15:20:57	0	Presets_dockPreset_1	True	21.68535	89.49324	98.02612	93.0703	0	150	0	150	50.94623	65.20892	73.88959	66.18498	0.5444942	1741.82	139.0181	152.6152	0	311.5601	122.3088	435.6728	580.645	47	12	2	1	0	11	6	17	
	21	2018-11-07_15:21:09	0	Presets_dockPreset_2	False	7.517184	89.93356	97.14102	92.2254	90	90	0	90.00001	39.12856	126.3519	159.7066	86.65324	0.6613189	666.4853	66.34425	114.6373	0	136.2136	84.8224	107.7118	156.756	13	0	2	1	2	4	3	2	
	23	2018-11-07_15:21:28	0	Ltd Random	True	13.1821	97.04236	97.43989	96.92226	90	90	0	150	30	180	90	71.80115	0.7	1210.198	144.8789	292.8055	0	212.8643	119.0437	142.9168	297.688	30	5	7	1	0	5	6	7	
	25	2018-11-07_15:21:51	0	Presets_dockPreset_3	True	6.08408	89.8161	98.66656	93.28783	110	113.3024	0	135	14.06274	86.85349	34.56698	91.16356	0.5486507	502.1687	85.80212	129.1721	0	127.9999	27.61945	38.06683	93.5084	10	0	2	1	0	5	1	2	
	27	2018-11-07_15:22:00	0	Presets_dockPreset_5	True	4.715985	97.58752	97.04813	96.69761	3.208973E-43	0	0	89.99999	24.0142	5.28891	95.74966	96.6985	0.2389475	410.0878	81.3479	128.4688	0	103.1501	2.06341	7.45459	87.60311	11	3	3	1	2	0	4	1	
	29	2018-11-07_15:22:16	0	Presets_dockPreset_4	False	11.15178	97.98497	96.82734	96.46162	110	37.58707	0	1.611493E-43	12.72992	111.1535	13.93857	90.8979	0.3171211	755.0507	149.8021	187.3111	0	143.1894	13.32607	107.393	154.0289	21	0	6	1	3	0	4	9	
	31	2018-11-07_15:22:36	0	Ltd Random	True	15.28891	97.77715	80.95972	90.13789	90	129.1251	0	30	90	0	0	82.51649	0.3768056	1611.035	84.8644	368.5271	0	261.6262	75.69628	403.0678	417.2532	31	2	3	1	14	10	2	2	
	33	2018-11-07_15:22:48	0	Ltd Random	True	4.608383	84.85907	87.84338	85.8653	30	69.60114	0	89.99999	1.024528E-05	90	90	94.85254	0.4106679	392.5973	78.06586	97.28922	0	118.3882	0	64.18326	34.67078	8	0	5	1	0	3	1	0	
	35	2018-11-07_15:22:59	0	Ltd Random	False	5.724683	75.09856	88.55853	79.66964	90	50.86346	0	150	30	90	30	92.20721	0.4898483	718.3878	135.974	108.7766	0	231.6223	2.290543	72.271	167.4535	6	0	2	1	0	0	2	2	
	37	2018-11-07_15:23:14	0	Presets_dockPreset_2	False	8.42389	93.61972	76.04342	85.99507	90	90	0	89.99999	80.45513	46.8398	155.4281	87.61344	0.6141367	474.5164	65.64096	117.216	0	90.49075	65.66367	51.98148	83.52369	15	0	2	1	4	1	8	0	
	39	2018-11-07_15:23:28	0	Presets_dockPreset_1	False	8.656446	91.21893	91.69613	89.9252	2.411368E-38	150	0	150	43.4621	109.0703	158.285	86.38748	0.678686	940.0728	60.71787	311.7945	0	238.1829	82.22959	68.31461	178.8335	5	4	0	1	0	0	0	2	
	41	2018-11-07_15:23:48	0	Ltd Random	False	13.14241	92.22323	61.43922	78.50263	90	90	0	150	90	90	0	86.68864	0.5666667	834.8217	148.8626	211.2234	0	180.0438	69.96754	100.1991	124.5251	5	0	2	1	0	2	0	2	
	43	2018-11-07_15:24:09	0	Presets_dockPreset_3	True	14.71391	96.85842	86.08497	91.61398	110	113.2414	0	135	40.37009	141.8334	96.72514	78.15366	0.7079667	1014.395	86.50537	143.4723	0	180.2782	144.7113	152.1996	307.2284	13	0	1	1	2	8	0	2	
	45	2018-11-07_15:24:22	0	Presets_dockPreset_5	True	4.542623	98.66441	95.29787	96.94183	1.611493E-43	0	0	89.99999	55.40043	162.332	65.50536	91.71864	0.4147086	842.6473	158.0071	77.36254	0	176.2929	54.21605	178.3117	198.4571	14	3	3	1	3	1	4	2	
	47	2018-11-07_15:24:37	0	Presets_dockPreset_2	False	8.513294	96.05918	79.80445	89.0419	90	90	0	89.99999	19.99121	152.9004	6.454989	90.04033	0.499274	843.5011	83.44762	92.60063	0	120.2636	91.53353	149.5675	306.0883	6	0	1	1	0	1	2	2	
	49	2018-11-07_15:24:48	0	Ltd Random	False	5.898025	90.56918	78.45292	84.98399	30	109.3971	0	90.00001	90	0	0	94.27895	0.3548857	722.2786	39.85342	84.62997	0	207.4724	83.70962	163.0078	143.6055	7	0	0	1	2	3	2	2	
	51	2018-11-07_15:25:07	0	Ltd Random	True	13.43458	99.22161	96.57004	97.88405	90	90	0	90.00001	90	0	0	83.24599	0.4	1545.045	57.67029	115.3406	0	108.7765	74.00945	591.5204	597.7278	27	3	3	1	5	3	10	5	
	53	2018-11-07_15:25:20	0	Presets_dockPreset_1	False	7.786464	87.21012	83.0679	84.18918	1.736841E-34	150	0	150	44.25446	82.05856	174.1585	83.00437	0.6671906	1268.697	240.7617	313.2012	0	317.8898	60.1354	78.46095	258.248	11	6	0	1	0	0	6	0	
	55	2018-11-07_15:25:32	0	Ltd Random	True	7.549673	93.11861	98.29097	94.98535	30	109.2018	0	90	5.008957E-06	150	5.008956E-06	91.53751	0.4213353	653.5248	96.11716	122.6079	0	199.9705	34.08533	118.2494	82.49447	13	2	1	1	0	9	0	3	
	57	2018-11-07_15:25:47	0	Presets_dockPreset_4	True	10.65573	85.15411	96.67732	89.07396	110	37.14453	0	1.611493E-43	51.30557	60.81738	173.1858	83.40498	0.4805037	1388.099	235.1354	361.4941	0	410.0216	34.65674	49.18246	297.6083	21	4	8	1	6	0	2	2	
	59	2018-11-07_15:26:01	0	Presets_dockPreset_3	False	9.977281	91.07022	92.61436	90.60263	110	113.2722	0	135	20.53519	41.48697	120.3866	87.46946	0.6007566	788.0654	137.8461	216.8496	0	178.8716	16.21998	13.52256	224.7552	7	0	3	1	0	0	0	4	
	61	2018-11-07_15:26:13	0	Presets_dockPreset_5	False	7.402151	98.43379	94.01241	96.40392	1.611493E-43	0	0	90	0.480623	104.279	165.8565	88.64039	0.4006845	794.8367	92.50516	131.0475	0	129.4065	140.2657	112.673	188.9387	26	3	7	1	2	11	2	4	
	63	2018-11-07_15:26:25	0	Presets_dockPreset_4	True	6.897596	76.89082	85.87349	79.59493	110	38.33914	0	1.553398E-30	16.5845	2.970184	35.26953	96.05127	0.2257371	659.502	137.1374	155.6628	0	225.758	5.649981	0	135.2938	9	0	4	1	2	0	3	2	
	65	2018-11-07_15:26:35	0	Ltd Random	False	6.186616	96.34631	87.82674	91.77676	90	128.9166	0	30	1.024528E-05	90	90	92.37671	0.476574	480.9418	85.80215	149.3332	0	76.42484	19.47016	61.12677	88.78467	10	5	2	1	2	2	0	0	
	67	2018-11-07_15:26:52	0	Ltd Random	True	11.92018	97.24192	53.02424	78.14388	90	129.0743	0	30	90	90.00001	0	79.24508	0.4767492	2861.406	63.06229	217.084	0	301.4796	81.19971	1756.329	442.2512	7	1	0	1	4	1	0	2	
	69	2018-11-07_15:27:07	0	Ltd Random	False	8.670233	93.81931	45.94348	72.92774	90	50.40027	0	90	90	150	0	88.45515	0.522667	1041.81	236.3075	163.868	0	161.9925	64.92191	116.7788	297.9413	6	0	4	1	0	1	0	2	
	71	2018-11-07_15:27:24	0	Ltd Random	True	5.794673	95.63595	93.13691	94.10413	90	90	0	30	90	0	0	90.71781	0.3333333	805.1901	93.77568	83.45776	0	117.216	82.01299	236.2191	192.5085	29	2	0	1	17	4	6	2	
	73	2018-11-07_15:27:32	0	Ltd Random	False	4.889408	85.39002	99.07758	88.73636	30	30	0	150	30	30	90	93.76591	0.4	669.5822	186.6154	99.86807	0	241.9338	2.668569	2.589876	135.9064	8	0	2	1	0	0	5	1	
	75	2018-11-07_15:27:41	0	Presets_dockPreset_2	True	4.535458	97.66057	97.53815	97.46619	90	90	0	90	61.59852	58.3384	108.2248	91.86382	0.553513	416.3701	84.62991	101.509	0	85.8179	48.60498	14.43224	81.37617	12	1	5	1	2	3	1	0	
	77	2018-11-07_15:27:54	0	Presets_dockPreset_3	True	9.494917	91.01711	94.63274	92.13079	110	113.2757	0	135	10.60596	178.0097	50.754	76.29041	0.6640503	1920.959	120.9669	145.3478	0	229.268	183.7811	603.6169	637.9791	15	2	0	1	0	6	7	0	
	79	2018-11-07_15:28:10	0	Presets_dockPreset_1	False	7.547037	95.77734	75.69903	86.99576	0	150	0	150	12.34827	98.70062	153.1371	86.16993	0.6268734	851.4958	98.68904	234.6664	0	248.0358	8.095228	110.9782	151.0309	13	5	0	1	0	7	2	0	
	81	2018-11-07_15:28:36	0	Presets_dockPreset_5	True	6.596776	99.44952	97.20907	98.27293	0	0	0	90	52.819	13.12955	24.19373	96.40558	0.2001581	336.1145	51.10623	98.22701	0	123.5457	35.75208	4.419298	23.0642	17	3	3	1	5	1	1	6	
	83	2018-11-07_15:28:56	0	Presets_dockPreset_1	False	8.745024	96.78584	91.77599	93.6292	0	150	0	150	20.09548	139.1334	20.91272	82.53387	0.5334907	1699.432	164.8057	207.0035	0	304.2928	40.23209	866.2675	116.83	14	9	0	1	0	4	2	0	
	85	2018-11-07_15:29:19	0	Ltd Random	True	17.58971	99.15243	97.71275	98.49239	90	90	0	30	30	180	90	70.96268	0.5666667	1665.261	190.8307	167.3845	0	389.1571	88.45255	580.4839	248.953	35	5	1	1	11	9	4	5	
	87	2018-11-07_15:30:05	0	Presets_dockPreset_4	True	38.17609	88.22668	95.41281	91.1955	110	37.59589	0	0	7.196817	96.25739	88.59427	70.21355	0.3773826	1675.293	167.0938	281.5528	0	735.6476	68.00089	167.2809	255.7173	49	0	6	1	6	19	7	12	
	89	2018-11-07_15:30:19	0	Ltd Random	False	8.967042	92.21811	91.12469	91.63911	90	50.44815	0	30	30	180	90	79.91721	0.5227202	1345.272	146.2855	133.1569	0	91.22408	151.5292	582.162	240.9138	33	2	12	1	4	9	2	4	
	91	2018-11-07_15:30:27	0	Ltd Random	False	4.363607	95.9511	95.80847	95.80273	90	128.991	0	30	5.008956E-06	5.008956E-06	5.008956E-06	97.27752	0.2766566	347.7037	90.92955	111.3552	0	138.6125	0	6.806393	0	5	1	0	1	3	1	2	1	
	93	2018-11-07_15:30:40	0	Ltd Random	True	9.615203	95.82486	57.04946	78.65176	90	129.6164	0	30	90	90	0	90.34037	0.4773515	762.0687	84.16104	142.0658	0	228.5624	77.7217	75.68713	153.8704	6	1	2	1	2	0	0	2	
	95	2018-11-07_15:31:05	0	Ltd Random	True	19.7043	86.11013	97.95235	89.28116	30	107.963	0	30	30	30	90	85.02744	0.3532923	1067.579	257.1719	339.6921	0	282.7251	19.66701	20.08765	148.2361	25	8	2	1	6	0	9	0	
	97	2018-11-07_15:31:29	0	Presets_dockPreset_2	True	11.74569	97.752	97.04383	97.32751	90	90	0	90	59.50888	117.1198	159.9607	69.81123	0.6739881	2504.555	119.3259	200.6738	0	174.183	70.74371	284.1545	1655.474	16	0	1	1	0	7	4	4	
	99	2018-11-07_15:31:45	0	Presets_dockPreset_3	False	7.455588	90.69067	81.99255	86.18491	110	113.2695	0	135	77.66675	0.1297707	102.0076	87.07007	0.5978596	817.1442	154.9596	139.2526	0	146.2856	49.08939	115.7102	211.847	13	0	2	1	0	2	10	0	
	101	2018-11-07_15:32:04	0	Presets_dockPreset_5	False	6.862834	97.23544	80.38923	89.97192	0	0	0	90	85.93562	30.23783	14.15135	96.40556	0.2448054	482.0023	40.55682	83.69221	0	101.9779	79.91027	75.66911	100.196	7	2	3	1	1	1	0	2	
	103	2018-11-07_15:32:14	0	Ltd Random	False	5.548328	91.22372	72.26765	82.60831	90	50.45193	0	150	90	0	0	94.31572	0.4227244	589.8442	82.28567	95.17935	0	150.7398	74.39274	81.70713	105.5394	5	1	0	1	0	0	4	2	
	105	2018-11-07_15:32:26	0	Ltd Random	True	7.848369	95.83333	94.91871	95.16299	90	90	0	150	30	180	30	84.74001	0.6333333	924.6348	88.61526	139.4871	0	343.4429	42.28481	174.0988	136.7058	14	2	3	1	0	5	4	0	
	107	2018-11-07_15:32:39	0	Ltd Random	True	7.14763	96.35226	99.37892	97.61563	90	90	0	150	5.008956E-06	5.008956E-06	5.008956E-06	94.68127	0.3666667	435.8018	111.1208	148.1611	0	176.52	0	0	0	7	2	3	1	0	1	3	1	
	109	2018-11-07_15:32:51	0	Ltd Random	False	9.029817	91.40599	88.48882	90.09415	90	129.3904	0	30	30	90	30	86.27068	0.4437671	1090.83	233.7287	254.3588	0	285.3038	20.17118	116.1072	181.1604	22	2	0	1	5	5	2	8	
	111	2018-11-07_15:33:09	0	Ltd Random	False	12.51875	97.59767	51.58052	77.27717	90	90	0	30	90	150	0	86.73471	0.5	501.183	82.05119	67.28196	0	109.2454	66.99783	41.6812	133.9254	19	1	0	1	17	0	0	2	
	113	2018-11-07_15:33:23	0	Ltd Random	False	8.227642	93.74747	92.39254	93.04066	90	90	0	30	5.008957E-06	90	5.008957E-06	95.21903	0.3333333	411.5257	74.08054	81.11359	0	161.5237	0	63.00598	31.80185	5	1	0	1	0	1	0	5	
	115	2018-11-07_15:33:41	0	Ltd Random	True	13.78363	98.20211	95.70334	96.48107	90	90	0	30	30	90	90	78.26624	0.4666667	1378.872	85.8022	230.2122	0	217.081	146.027	398.5347	301.2156	38	1	0	1	11	14	6	6	
	117	2018-11-07_15:34:24	0	BAD DATA	True	41.65895	95.2793	96.88371	95.38461	90	90	0	150	5.008957E-06	5.008957E-06	90	49.43683	0.4666667	2969.07	682.3402	767.7648	0	703.153	119.3024	166.3411	530.1696	75	26	6	1	0	16	19	10	
	119	2018-11-07_15:34:37	0	Ltd Random	False	8.80047	92.30838	49.62906	73.8766	90	129.558	0	30	90	150	0	86.5211	0.5439534	1197.905	148.8643	217.7874	0	298.1975	56.6021	227.546	248.9068	9	0	2	1	1	5	0	2	
	121	2018-11-07_15:34:57	0	Ltd Random	True	8.393293	91.59114	99.08717	94.57024	90	129.0084	0	30	5.008957E-06	90	5.008957E-06	93.25584	0.376676	651.1128	56.26367	132.9229	0	326.5637	0	135.3626	0	7	0	0	1	4	1	3	1	
	123	2018-11-07_15:35:10	0	Ltd Random	True	9.544185	98.76779	47.03247	76.18862	90	90	0	150	90	150	0	86.54046	0.6333333	870.7733	97.28928	143.9413	0	201.8627	72.08413	174.5159	181.0799	7	0	1	1	1	4	0	2	
	125	2018-11-07_15:35:22	0	Ltd Random	False	6.915393	93.20502	75.22344	85.27128	30	69.14484	0	150	90	90.00001	0	85.98296	0.4768276	2048.106	62.59335	262.5639	0	193.6408	84.14034	1070.411	374.7552	5	2	1	1	0	1	0	2	
	1	2018-11-07_15:36:40	1	BAD DATA	False	4.433008	84.35155	83.40089	81.89204	110	37.87842	0	0	5.787796	167.909	84.31503	92.26646	0.4509892	871.4933	103.1501	157.0695	0	34.69592	129.2837	213.3274	233.9666	8	0	4	1	3	2	0	0	
	3	2018-11-07_15:36:56	1	Ltd Random	False	8.142101	97.065	92.64225	94.89104	90	90	0	90	30	180	180	75.46757	0.7333333	1531.122	154.4907	126.5933	0	506.1386	59.29687	112.5908	572.0121	20	2	1	1	4	7	0	6	
	5	2018-11-07_15:37:20	1	Presets_dockPreset_2	True	19.38275	97.79794	96.83956	96.09189	90	90	0	90	20.52036	35.48791	36.73267	76.83729	0.4030455	1508.648	125.1866	131.2819	0	186.3735	98.95064	223.4373	743.4186	46	6	0	1	7	18	7	8	
	7	2018-11-07_15:37:27	1	Ltd Random	False	2.83587	88.89926	74.31916	82.14024	30	69.03903	0	90	90	0	0	97.34659	0.3100434	472.2326	35.39923	73.37746	0	46.65197	81.65011	121.9393	113.2145	2	0	0	1	0	0	2	2	
	9	2018-11-07_15:37:39	1	Presets_dockPreset_4	True	9.139532	98.76299	98.13375	98.2503	110	37.98718	0	0	18.13779	148.6359	29.17285	88.11475	0.3821485	896.1591	213.0987	211.9265	0	150.9743	13.07803	114.1953	192.8864	27	1	6	1	5	5	3	8	
	11	2018-11-07_15:37:48	1	Ltd Random	False	4.778916	93.41344	73.12894	84.09168	90	90	0	90	90	0	0	94.15586	0.4	583.1437	103.5064	78.06586	0	118.3881	74.31194	90.00923	118.8621	8	2	0	1	0	0	6	2	
	13	2018-11-07_15:38:07	1	Presets_dockPreset_1	True	15.5281	94.05005	93.24331	92.58852	0	150	0	150	28.11183	153.601	93.1793	47.37349	0.638769	3285.93	190.8276	282.7249	0	193.4064	191.9826	1247.672	1179.317	68	41	0	1	0	12	10	6	
	15	2018-11-07_15:38:31	1	Presets_dockPreset_3	True	13.93757	97.10493	98.07671	96.47188	110	113.3248	0	135	10.79715	172.0983	91.77435	60.952	0.7033273	2758.139	285.0989	219.4283	0	544.8141	152.0463	1138.584	418.1671	29	0	9	1	3	6	11	0	
	17	2018-11-07_15:38:47	1	Ltd Random	False	11.98724	97.47306	80.0396	89.63795	90	90	0	150	90	90.00001	0	71.75037	0.5666667	1086.505	107.8471	107.6044	0	322.8041	71.12817	266.1436	210.9781	55	40	1	1	0	7	6	2	
	19	2018-11-07_15:39:24	1	Ltd Random	True	29.27543	94.30461	94.33894	93.64529	30	69.64929	0	150	1.024528E-05	90	90	74.76964	0.4773881	1457.542	247.5604	185.4357	0	539.428	2.370852	358.2694	124.4774	19	8	4	1	0	2	6	0	
	21	2018-11-07_15:39:35	1	Presets_dockPreset_5	True	6.425255	99.73648	92.61917	95.97591	0	0	0	90	32.40283	126.8766	36.21115	93.8665	0.3172118	591.0392	76.19045	122.6081	0	252.9521	18.98001	75.57037	44.73825	15	3	3	1	9	2	0	0	
	23	2018-11-07_15:39:44	1	Ltd Random	False	5.840952	83.98146	88.99284	84.1938	90	90	0	30	4.695755E-06	150	150	87.98456	0.5666667	1236.277	170.6666	230.2122	0	357.9777	109.6092	112.5089	255.3027	7	0	0	1	4	2	0	2	
	25	2018-11-07_15:39:59	1	Presets_dockPreset_2	True	10.71514	96.93365	90.40951	93.78948	90	90	0	90	4.233672	72.4563	134.3506	84.78349	0.5344896	875.4105	101.7435	143.9412	0	226.9302	10.15518	206.399	186.2414	19	0	1	1	8	7	2	2	
	27	2018-11-07_15:40:21	1	Presets_dockPreset_1	True	11.29577	95.90757	96.21997	95.25205	0	150	0	150	5.586975	84.57047	72.07203	81.99168	0.5135883	1376.796	313.1822	226.4614	0	298.6663	45.80218	332.7769	159.9071	21	6	0	1	0	4	3	8	
